nll-oracle,nll-test,EmbeddingSimilarity,
1,11.160532,7.7165356,-0.02587463641989229,
6,10.804034,7.201946,-0.02669465510662539,
11,10.67908,6.3153086,-0.026989714680342225,
16,10.558812,5.4089575,-0.02629161005523632,
21,10.466291,4.6884813,-0.026416619454891297,
26,10.437755,4.1100407,-0.026657068047925715,
31,10.316899,3.688525,-0.026478116769207204,
36,10.305719,3.3141377,-0.02598611451026086,
41,10.232656,3.0623827,-0.02609338994168247,
46,10.171158,2.85248,-0.025726518877413423,
51,10.089225,2.658773,-0.02659426611841946,
56,10.025413,2.463085,-0.02544295873150656,
61,10.020758,2.3283467,-0.025702838527255894,
66,10.001187,2.2292638,-0.025857752978363423,
71,9.965708,2.1413424,-0.02546701656188412,
76,9.919035,2.0758505,-0.02535291335192418,
