epochs, EmbeddingSimilarity,nll-test,
1,-0.024806156200353584,2.7825398,
6,-0.024828330150348542,2.018962,
11,-0.02481389773005661,1.7757154,
16,-0.024789927986543746,1.6502017,
21,-0.02479712985682168,1.5785757,
26,-0.02481342351604308,1.532502,
31,-0.024812373899351377,1.5000621,
36,-0.024804454686770935,1.4812163,
41,-0.024804646402031783,1.4721154,
46,-0.024813410387596414,1.4765362,
51,-0.0248066321605184,1.46139,
56,-0.024812811029203356,1.4336387,
61,-0.024810695740311493,1.4233712,
66,-0.02480094424319641,1.408872,
71,-0.0248144853592832,1.4036847,
76,-0.024822505125070532,1.3965925,
